"packages","minrelease"
"mosaic","1.2.0"
"rmarkdown","1.9"
"tinytex","0.4"
"knitr","1.20"
"futile.logger", "0"
"lsr","0"
"corrplot", "0"
"psych", "0"
"gridExtra", "0"
"tidyverse", "1.2.1"
"grid", "0"
"stringr", "0"
"mvtnorm", "0"
"ineq", "0"
"forecast", "0"
"wordcloud", "0"
"slam", "0"
"VennDiagram", "0"
"arules", "0"
"arulesViz", "0"
"plotly", "0"
"rpart.plot", "0"
"plspm", "0"
"plsdepot", "0"
"reshape", "0"
"igraph", "0"
"readxl", "0"
"fracdiff", "0"
"lmtest", "0"
"timeDate", "0"
"tseries", "0"
"urca", "0"
"uroot", "0"
"xts", "0"
"zoo", "0"
"gridExtra", "0"
"futile.logger", "0"
"ggthemes", "0"
"emojifont","0"
"ggdag","0"
"tidytext","0"
"lsa", "0"
